         Deformacion;     Fuerza
  1,439587116241e+00;  7,728559875488e+01
  1,444916129112e+00;  7,823136138916e+01
  1,453017473221e+00;  7,925669860840e+01
  1,455211758614e+00;  7,907438659668e+01
  1,455838799477e+00;  7,867736816406e+01
  1,449820160866e+00;  7,621839904785e+01
  1,438604950905e+00;  7,310138702393e+01
  1,426644325256e+00;  6,973674774170e+01
  1,414384245872e+00;  6,650244903564e+01
  1,401929140091e+00;  6,345574188232e+01
  1,389738678932e+00;  6,055036926270e+01
  1,379512667656e+00;  5,829332733154e+01
  1,367412686348e+00;  5,557541275024e+01
  1,357367753983e+00;  5,344638061523e+01
  1,347058176994e+00;  5,135675811768e+01
  1,334867715836e+00;  4,881201934814e+01
  1,324592947960e+00;  4,681900024414e+01
  1,314387798309e+00;  4,489248275757e+01
  1,302155494690e+00;  4,256795120239e+01
  1,292013049126e+00;  4,075436782837e+01
  1,279732108116e+00;  3,859186172485e+01
  1,267388343811e+00;  3,650032806396e+01
  1,254842638969e+00;  3,441837692261e+01
  1,242359638214e+00;  3,239382171631e+01
  1,232168436050e+00;  3,083042716980e+01
  1,222123503685e+00;  2,931686782837e+01
